name,location,industry,description,followers,linkedin_url
GCB,Zürich,Financial Services,"....  Green Capital & Beteiligungen AG provides a network of experienced and qualified experts who cover specific topics (industry knowledge, IT, crypto (OTC...",267 followers,https://www.linkedin.com/company/gcb-ag/
dloop,Zug,Artists and Writers,dloop and its flagship product elementum.art provides the gateway to experience art in the connected world • Specialties: crypto art,278 followers,https://www.linkedin.com/company/dloop-ltd/
Centrum Circle,Zug,Financial Services,"Centrum Circle supports disruptive Crypto, Blockchain and Tokenizable projects. We provide companies with a globally compliant STO execution, a suite of STO services, and cover all costs of these up to $2M. We provide investors the opportunity to invest in prescreened blockchain projects with market-leading potential...",330 followers,https://www.linkedin.com/company/centrum-circle/
Exporis Switzerland,"Plan les Ouates , Geneva",Information Technology & Services,"Explore our Crypto Exchange and Compliance Ecosystem. Swiss SaaS, Blockchain, APIs, APPs, Digital Platforms, e-Commerce",252 followers,https://www.linkedin.com/company/exporis/
AlpChain Capital,"Lausanne, Vaud",Venture Capital and Private Equity Principals,Reinventing Venture Capital for crypto space.,17 followers,https://www.linkedin.com/company/alpchaincapital/
ShitcoinX,Zurich,Marketing Services,A Solution To Worthless Crypto Tokens & NFTs. Give Us Your Shitcoins And Take Our Gold.,1 follower,https://www.linkedin.com/company/shitcoinx/
Blockchainizator,"Vevey, Vaud",Entertainment Providers,We craft crypto-collectibles with serious fun in mountains & lakes region,13 followers,https://www.linkedin.com/company/blockchainizator/
Popotam,"Geneva, Geneva",Business Consulting and Services,POPOTAM® | audio - web3 - capital • Specialties: crypto,3 followers,https://www.linkedin.com/company/popotam-labs/
sharefidence,Zug,Financial Services,"...of the change and say goodbye to hidden fees, costly KYC procedures, and closed sales.   Remember:  Sharefidence is crypto investment made easy!",13 followers,https://www.linkedin.com/company/sharefidence/
Juicy Trade & Co.,Zurich,Financial Services,CRYPTO INVESTMENT OPTIMIZER,1 follower,https://www.linkedin.com/company/juicy-orange-co/
Pilatus IT,Zug,"Technology, Information and Internet","Asset management infrastructure, exchanges, and derivatives for the blockchain • Specialties: Crypto Exchange",3 followers,https://www.linkedin.com/company/pilatus-it/
CryptAid,Geneva,Software Development,Building something imaginative for the crypto space...,8 followers,https://www.linkedin.com/company/cryptaid/
Fyce,Luzern,"Technology, Information and Internet","The Crypto App & Card of the Future.  Buy cryptocurrencies, manage your finances and use your cryptocurrencies to pay anywhere.",12 followers,https://www.linkedin.com/company/fyceapp/
Cajutel ICO,"Basel, Basel-Stadt",Telecommunications,"Cajutel sarl is a Guinea-Bissau company under Swiss ownership. Its major shareholder also owns DataCell ehf , which built and operated a crypto mining datacenter and assisted Wikileaks in credit card payments in 2010. Furthermore, he started Icell ehf, a mobile operator in Iceland in 2007 and operated Emax a rural...",13 followers,https://www.linkedin.com/company/cajutel-ico/
Apextrade.co,"Saskatoon, Saskatchewan",Investment Management,"...: ApexlendTM is the Fastest Growing Crypto Lending service from Apextrade and Investments Group. Deposit crypto coins, earn interest, and borrow dollars against your crypto!   Earn, Borrow & Pay on the Blockchain. Instant access to cash without selling your crypto assets.  ApexlendTM is using Onfido to adhere...",49 followers,https://www.linkedin.com/company/officialapextrade/
Myrillion,Geneva,Entertainment,...the crypto currency of players and consumers of the Entertainment industry and is the unit of account for all economic transactions within the Myrillion ecosystem...,45 followers,https://www.linkedin.com/company/myrillion/
Ampere Energy Investments AG,"Zug, Zug",Venture Capital and Private Equity Principals,"...with external investment teams.  Ampere Global Investments AG is a worldwide platform born in the Crypto Valley, an ecosystem centered in and around the Swiss...",73 followers,https://www.linkedin.com/company/ampere-global-investment/
Swiss Capital GEM Bank,Zurich,Financial Services,gold standard cryptocurrency cum crypto-central banking ecosystem,64 followers,https://www.linkedin.com/company/lgt-bank-in-liechtenstein-&-co./
GlobeBit LLC,Bern,IT Services and IT Consulting,"...Contracts, Web3, and Crypto in English and native German. After implementing changes, we help document and add structure. We are open to other tasks, such as...",74 followers,https://www.linkedin.com/company/globebit/
8848 Invest,Zug,Capital Markets,8848 Invest is an asset management operator focused on the prospective class of digital assets. Using an accomplished financial ecosystem of Crypto Valley in the Swiss canton of Zug we make great efforts to turn investments safer and profitable.  Asset management is carried out by the team of traders and analysts...,35 followers,https://www.linkedin.com/company/8848invest/
Blockchain Hero,"Zug, Schweiz",Media Production,Specialties: Crypto,52 followers,https://www.linkedin.com/company/blockchainhero/
KSquared GmbH,"Zürich, Zürich",Business Consulting and Services,The operating partner for startups -   Financings ¦ ESOP ¦ Crypto,68 followers,https://www.linkedin.com/company/ksquared-gmbh/
GB Global Blockchain AG,"Wollerau, Schwyz",Financial Services,Our aim is to provide professional investors access to crypto assets by using traditional and state of the art  investment vehicles.  We will utilize our long term experience in traditional Asset Management and trading to develop quantitative  trading strategies for an asset class of the future. Crypto markets are...,52 followers,https://www.linkedin.com/company/gb-global-blockchain-ag/
Clever Passiv Verdienen 2022,"Alicante, Valencia",Financial Services,"We work in one of the biggest markets in the world and totally passively. No crypto, no previous experience necessary, totally automated, earning passively...",68 followers,https://www.linkedin.com/company/cfxdeutsch/
Eidoo,Zug,Financial Services,"Decentralized finance at your fingertips. Meet the multidimensional, multicurrency crypto platform.",2K followers,https://www.linkedin.com/company/eidoo/
Encyphers,"New York, NY",IT Services and IT Consulting,"...in the e-commerce industry.  We also have experience in blockchain development, including building DAOs, crypto, NFTs, and other related DApps using Rust...",2K followers,https://www.linkedin.com/company/encyphers/
SIRIN LABS,Schaffhausen,Computers and Electronics Manufacturing,Specialties: Crypto,3K followers,https://www.linkedin.com/company/sirin-labs/
NUMEUS,Zug,Financial Services,"...across the digital asset ecosystem. People and technology are at the core of everything we do.  We are based in the heart of the Crypto Valley in Zug, Switzerland...",2K followers,https://www.linkedin.com/company/numeus/
21 Analytics,Zug,Software Development,Your Technology Partner for Virtual (Crypto) Assets Compliance.  21 Analytics offers Software Solutions and Consulting Services for Virtual Asset Service Providers.,2K followers,https://www.linkedin.com/company/21analytics/
Komainu,St Helier,Financial Services,"Komainu is the first regulated digital asset custody solution built by institutions for institutions. Unified by their skills and expertise, investment bank Nomura, investment house CoinShares and crypto assets security firm Ledger, bring to market one single turnkey solution, that is Komainu.",2K followers,https://www.linkedin.com/company/komainu-next-generation-custodian/
OVD Kinegram AG,Zug,Public Safety,KINEGRAM is the world's leading security solution for the protection of government documents and banknotes • Specialties: Crypto Seal,2K followers,https://www.linkedin.com/company/ovd-kinegram/
The Nemesis,"Lugano, Lugano",Computer Games,...with your friends. The Nemesis is free to use and you can play as a guest or by signing in with social login. Have a crypto wallet? Sync it for an even more...,3K followers,https://www.linkedin.com/company/the-nemesis/
Portofino Technologies,Zug,"Technology, Information and Internet","Portofino Technologies is building financial infrastructure technology to power digital asset adoption  Portofino Technologies is a crypto native technology start-up with 35+ employees across 5 global locations. Portofino deploys its proprietary market making technology to trade on centralized, decentralized and OTC...",2K followers,https://www.linkedin.com/company/portofino-technologies/
Bity,"Neuchâtel, NE",Financial Services,Bity provides crypto finance services and products for individuals and businesses all over the world. We work as an exchange between cryptocurrencies and fiat...,2K followers,https://www.linkedin.com/company/bity/
WOS Swiss Investments AG,"Luzern, Luzern",Financial Services,"...invest in Start-Ups, Crypto Currencies, Future-oriented companies with a lot of potential as well as matured corporations and together assist in increasing ROI...",34 followers,https://www.linkedin.com/company/wos-swiss-investments-ag/
BlockByte SWISS,"Cham, Zug",Software Development,House Software - Blockchain strategist - Tokenization Industry and Consulting • Specialties: crypto startup,41 followers,https://www.linkedin.com/company/blockbyte-swiss/
Hiro,Zurich,"Technology, Information and Internet",Hiro - Your crypto checkout link.  Hiro eliminates the need to provide and confirm your wallet address every time you request a crypto payment from a new sender.   No drama.   Done in 60 seconds.,14 followers,https://www.linkedin.com/company/hirocash/
Limitless Mind Alliance,"Rotkreuz, Zug",Mental Health Care,...” for multinational companies as well as the “Crypto Valley” for hosting many various technology start-ups.   WHAT WE DO - We help to improve mental healthcare policies...,55 followers,https://www.linkedin.com/company/limitless-mind-alliance/
iceVault,Geneva,Financial Services,"Securing Digital Finance, focused on crypto-currencies such as bitcoins.    ...........................................................",35 followers,https://www.linkedin.com/company/icevault/
GREIGHT,"Singapore, Singapore",Information Technology & Services,Turning ideas into products. Artificial Intelligence. Blockchain. Cyber Security • Specialties: Crypto exchange,38 followers,https://www.linkedin.com/company/greightsolutions/
Zeronauts,"Wil, St. Gallen",Software Development,Creating a sustainable crypto universe,40 followers,https://www.linkedin.com/company/zeronauts/
Edge and Pace,Fribourg,Capital Markets,Subscribe to get our strategic insights on crypto https://newsletter.edgeandpace.com/,49 followers,https://www.linkedin.com/company/edge-and-pace/
AVIKESTE,"zurich, zurich",Business Consulting and Services,"...at hourly / daily rates, directly or via its network of consultants and skilled experts in Business, Finance, Pricing & marketing strategy, Blockchain & Crypto...",54 followers,https://www.linkedin.com/company/avikeste/
High Stakes Switzerland,Geneva,IT Services and IT Consulting,"Staking service provider, Proof-of-Stake blockchain experts and software developers • Specialties: crypto assets",22 followers,https://www.linkedin.com/company/high-stakes-switzerland/
Crypto Nike,Grono,Investment Management,,0 followers,https://www.linkedin.com/company/crypto-nike/
crypto-solutions.ch,Winterthur,Advertising Services,,0 followers,https://www.linkedin.com/company/crypto-solutions.ch/
SuisseBase™ | Crypto and Payments,geneve,Financial Services,Empowering Crypto Investment with Innovation – Welcome to Suisse,471 followers,https://www.linkedin.com/company/suissebase%E2%84%A2/
World Crypto Forum,Geneva,Non-profit Organizations,Public-Private cooperation on Crypto-powered futures.,485 followers,https://www.linkedin.com/company/world-crypto-forum/
Blacklion Crypto Asset Management,Zürich,Financial Services,Specialties: Crypto Assets,16 followers,https://www.linkedin.com/company/blacklion-swiss/
Swiss Association of Crypto Investors,"Lugano, Ticino",Financial Services,The Swiss Association of Crypto Investors (SACI) is a non-profit organization whose aim is to foster the growth of the blockchain ecosystem in Switzerland. Our mission is to broaden the knowledge and experience of our members in the field of crypto investments and blockchain technology by encouraging the debate within...,373 followers,https://www.linkedin.com/company/swiss-association-of-crypto-investors/
Dukascopy TV - AN INTERNATIONAL VIDEO HUB COVERING FINANCIAL MARKETS AND CRYPTO,"Meyrin, Geneva",Online Audio and Video Media,"Dukascopy Video Hub: All about blockchain, cryptocurrencies, stocks, equities, commodities, trading and profits • Specialties: Crypto",2K followers,https://www.linkedin.com/company/dukascopy-tv/
Arbitri | Swiss One-Stop-Shop for Crypto & Blockchain,Geneva,"Technology, Information and Internet","At Arbitri we work with high-end specialists in each sector related to blockchain and crypto in order to answer all your needs with the highest level of professionalism.  Focus on what is important for you, we handle the rest.  We have in-house experts in law, branding, strategy, blockchain development and a worldwide...",581 followers,https://www.linkedin.com/company/arbitri/
Green Crypto Research,Zug,Research Services,"At Green Crypto Research, we believe that blockchain technology plays a vital role in moving towards a more sustainable future. Our mission is to empower you...",244 followers,https://www.linkedin.com/company/greencryptoresearch/
World Crypto Conference,Zurich,Events Services,"World Crypto Conference bringing industry professionals, developers and investors at the biggest Crypto Hub in Zürich.",247 followers,https://www.linkedin.com/company/worldcryptoconference/
HeliumHotspotArt,5612 VILLMERGEN,Design Services,"We bring your helium hotspot to life! 
What does your spot look like? • Specialties: CRYPTO",490 followers,https://www.linkedin.com/company/heliumhotspotart/
Agora,"Lausanne, Switzerland","Technology, Information and Internet",...industry veterans who have been leaders in crypto and blockchain since 2012.,500 followers,https://www.linkedin.com/company/agorablockchain/
Sgame Pro,"Lugano, Canton Ticino",Strategic Management Services,SgamePro™️ is a mobile games publisher and aggregator where players mine crypto-tokens while playing their favorite games. With almost 20% year-on-year growth...,517 followers,https://www.linkedin.com/company/sgamepro/
B4B Planet,"Lugano, Ticino",Social Networking Platforms,Come and join our community of professionals. Receive new customers from all the world troughth our network using our Crypto PBTcoin.,541 followers,https://www.linkedin.com/company/b4b-planet/
OneNano,London,Financial Services,The Next Generation Crypto Exchange,343 followers,https://www.linkedin.com/company/onenano/
Aximetria,"Zug, Zug",Financial Services,Your Swiss crypto account,416 followers,https://www.linkedin.com/company/aximetriagmbh/
HASH CIB,Zurich,Financial Services,Crypto asset management and venture investments with an institutional level of service quality,311 followers,https://www.linkedin.com/company/hashcib/
Muuvr - I Own What I Do,Baar,Internet Publishing,"Muuvr is our proprietary active-data-for-crypto platform. It inspires and enables active people of every ability, nationality, age, gender, economic status, creed and colour to take ownership of their active data and maximise its value. Our community members trade their active data for cryptocurrency which can then be...",240 followers,https://www.linkedin.com/company/muuvr/
Trade Cryptocurrency,"Zurich, zurich",Financial Services,Everything you need to know about Crypoto currency,440 followers,https://www.linkedin.com/company/cryptocurrencytrade/
WCAPES,"Zug, ZG","Technology, Information and Internet",⚽️ Football Investment Company based on BLOCKCHAIN  🏟 Doing real football business in crypto atmosphere,277 followers,https://www.linkedin.com/company/wcapes/
Fluid Finance SA,"Cité, Geneva",Financial Services,"The World's First Bank Alternative Linked to your Web3 Wallet.   Fluid Finance is a revolutionary new approach to banking, built for the digital age. We’ve integrated all the benefits of traditional banking with all the benefits of crypto – within one app. We're on a mission to create a better banking model for a...",1K followers,https://www.linkedin.com/company/fluid-finance-sa/
qiibee,"Zug, Zug",IT Services and IT Consulting,Loyalty on the blockchain.,2K followers,https://www.linkedin.com/company/qiibee-ag/
CWEX,"Genève,, Genève,",IT Services and IT Consulting,"Crypto Wine Exchange (CWEX) is a blockchain-based fine wine-trading platform, connecting cryptocurrency owners to the fine wine market without complications from regulations and bonded storage.",2K followers,https://www.linkedin.com/company/cwexio/
Bibox Exchange,Geneva,IT Services and IT Consulting,The world's first AI-driven cryptocurrency exchange • Specialties: crypto,1K followers,https://www.linkedin.com/company/biboxexchange/
Alpine Crypto,"Bern, Bern",Think Tanks,,2 followers,https://www.linkedin.com/company/alpine-crypto/
Brighty,"Baar, Zug",Financial Services,"Brighty is neodigital bank, with a mission to give people complete control over their finances and to unlock the full potential of the crypto economy.  Brighty aims to revive the idea that, as the asset keeper, you make your money work for you, in a bright instance, with minimum effort.",2K followers,https://www.linkedin.com/company/brightyapp/
honesto AG,"Adliswil, Zürich",Financial Services,The swiss crypto app.,2K followers,https://www.linkedin.com/company/honestoag/
Fiat24,Zurich,Financial Services,"Spend Crypto with MetaMask or any wallet | Fiat24 is an Award-Winning,Swiss-regulated, Fintech License Holder",2K followers,https://www.linkedin.com/company/fiat24/
CV Competition,Zug,Information Technology & Services,"...of Europe’s largest blockchain startup contest  In an effort to encourage blockchain innovation and foster the Crypto Valley ecosystem, the CV Competition...",2K followers,https://www.linkedin.com/company/cvcompetition/
Swiss Crypto Exchange,"Hergiswil, Nidwalden",Banking,,0 followers,https://www.linkedin.com/company/swiss-crypto-exchange/
Profindertech,"Baar, Switzerland","Technology, Information and Internet","Advisory service for those who are looking for a remote job, freelance opportunity and making money online • Specialties: Crypto market",9 followers,https://www.linkedin.com/company/profindertech.com/
nexuscap,Zurich,Venture Capital and Private Equity Principals,"/ˈnɛksəs/

""an important connection between the parts of a system or a group of things"" • Specialties: Crypto",9 followers,https://www.linkedin.com/company/nexuscap/
Greenery Finance,Zürich,"Technology, Information and Internet",For a sustainable crypto trading future!,7 followers,https://www.linkedin.com/company/greeneryfinance/
Advisorn Gmbh,Zug,Legal Services,Legal & Compliance Solutions for the Crypto Space (https://advisorn.io | https://advisorn.consulting),13 followers,https://www.linkedin.com/company/advisorn/
UpRunner AG,"Bern, Bern",Blockchain Services,We are powering blockchain infrastructure • Specialties: Crypto,4 followers,https://www.linkedin.com/company/uprunner/
Swap Tilt,"Zug, Canton de Zoug",Entertainment Providers,Take your skills and put them on the test in Swap Tilt trading competitions • Specialties: crypto,9 followers,https://www.linkedin.com/company/swap-tilt/
Digiverso,"Chavannes-près-Renens, Vaud",Marketing Services,Nous offrons à nos clients les moyens de pouvoir se démarquer dans le domaine de la blockchain: stratégie digitale sur mesure et formation sur les bases du crypto trading !,41 followers,https://www.linkedin.com/company/digiverso/
STUTZ,"Seelisberg, Uri",Non-profit Organizations,Specialties: Crypto,8 followers,https://www.linkedin.com/company/stutz/
Value Manifesto GmbH,"Basel, Basel-Stadt",Fine Art,"Value Manifesto is the world’s first crypto-based, asset-backed multiple artwork in the history of art.",7 followers,https://www.linkedin.com/company/value-manifesto/
Advena PartnR AG,"Geneva, GE",Financial Services,Global Challenges - Infinite Solutions • Specialties: Crypto,2 followers,https://www.linkedin.com/company/advena-partnr-ag/
TYR CAPITAL,Geneva,Investment Management,INSTITUTIONAL DIGITAL ASSET MANAGEMENT • Specialties: Crypto Currency,650 followers,https://www.linkedin.com/company/tyr-capital-partners-gmbh/
SEBAversity,Zug,Financial Services,Trusted education in blockchain and cryptocurrencies to help you accelerate your journey in the digital economy! • Specialties: crypto,693 followers,https://www.linkedin.com/company/sebaversity/
PMG Investment Solutions AG,"Zug, Zug",Financial Services,"PMG Investment Solutions AG structures, manages, administers and distributes tailor-made investment solutions • Specialties: Crypto Assets",530 followers,https://www.linkedin.com/company/pmg-investment-solutions-ag/
GameFi™ AG,Zug,Blockchain Services,"...to the crypto market, where players can play to earn cryptocurrency and NFT rewards.   The foundation of GameFi AG is a cryptocurrency running on the Ethereum network, known as PIKA. With PIKA, there’s no doubt your experience will be unlike any other in the crypto-sphere, having an ample supply with great burn rates, evolution...",680 followers,https://www.linkedin.com/company/gamefi-ag/
Värdex Suisse AG,"Baar, Zug",Financial Services,We offer secure access to the world of crypto and the increasing demand for digital assets.,535 followers,https://www.linkedin.com/company/vaerdex-suisse-ag/
LEXcellence AG - Legal Services,"Zug, Baar, Zug",Legal Services,"With our office towering above the so-called ""Crypto Valley""​, we strive to achieve excellence in legal services – these are our values:  - The highest quality of work; - a hands-on and solutions-oriented approach; - pragmatic, clear, concise and business-oriented advice; - fair and transparent fees.  You are...",753 followers,https://www.linkedin.com/company/lexcellence-ag/
Hubchain Technologies,"São Paulo, São Paulo",IT Services and IT Consulting,"Web3, DeFi, NFT, Smart Contracts, Blockchain as a Service Solutions, Whitelabel DigitalBank, Machine Learning & IoT  • Specialties: Crypto",631 followers,https://www.linkedin.com/company/hubchain-technologies/
Block Green,Zug,Financial Services,"...crypto currencies, while actively participating in securing the Bitcoin network and gaining attractive yields.  Our project is backed by some of the world’s...",544 followers,https://www.linkedin.com/company/block-green/
Bitfold,"Baar, Zug",Computer and Network Security,"Our mission is to provide consumers and institutions using digital assets and authentication with highest security and best user experience by building hardware, software and services.  We focus on delivering to the market Bitfold – new category of products inspired by crypto hardware wallets. Bitfold will be first in...",512 followers,https://www.linkedin.com/company/bitfold/
iBooster,"Lugano, Ticino",Marketing Services,"We boost the future!   Leading Marketing Agency for #Web3, #NFT and #Crypto.",676 followers,https://www.linkedin.com/company/iboostermktg/
GID Coin,Zug,Mining,Specialties: Crypto Currency,30 followers,https://www.linkedin.com/company/gidcoin/
Mobile Trust Telecommunications AG,Zurique,Telecommunications,"...Stealthphone protege suas conversas em mensageiros da Internet, no e-mail e nas redes sociais populares (Facebook, Twitter, Linked). A solução Crypto Voice over...",43 followers,https://www.linkedin.com/company/mobile-trust-telecommunications-ag/
Banken Digital Asset Proptech,Zurique,IT Services and IT Consulting,Digital asset management growing in line with the new consumer behavior trend for cross-border investors • Specialties: crypto asset,19 followers,https://www.linkedin.com/company/banken-digital-asset-proptech/
Coinmat AG,"Zug, Zug",Financial Services,Crypto to cash,34 followers,https://www.linkedin.com/company/coinmat/
STOk Capital,Lausanne,Financial Services,Take your business to the next level • Specialties: crypto-finance,20 followers,https://www.linkedin.com/company/stok-capital/
safekee,"Lugano, Ticino",Computer and Network Security,"safekee is the world's first secure decentralized cryptokeys cold-storage service, made available to the masses via a multi-currency crypto wallet!   March...",43 followers,https://www.linkedin.com/company/safekeeio/
GrowthInvestor.ch,"Zürich, Zürich",Financial Services,"Unabhängige Informationen für selbständiges Investieren in Aktien, Megatrends und Crypto.   Keine Anlageempfehlungen.",40 followers,https://www.linkedin.com/company/growthinvestor-ch/
JDB,"Zürich, Zürich",Blockchain Services,"“Big data is important in the crypto space because it offers an unprecedented level of transparency and insight, which is crucial for traders and investors...",15 followers,https://www.linkedin.com/company/jdb-official/
BLOC & Partners AG,"Zug, Zug",IT Services and IT Consulting,"BLOC & Partners AG provides the best solutions to invest, trade and store digital assets in the crypto asset universe.",30 followers,https://www.linkedin.com/company/bloc-partners-ag/
Intellos,Zurich,Software Development,"Intellos is closing the global wealth gap by creating a protocol based crypto investment bank. We're enabling equal access to performant, custodianless investment opportunities and next-generation financial technology via the Intellos Protocol.",35 followers,https://www.linkedin.com/company/intellos/
Aphex.fund,Zug,Venture Capital and Private Equity Principals,i) Crypto hedge fund  ii) Web 3.0 VC fund,1 follower,https://www.linkedin.com/company/aphex-fund/
cybrgate,Zug,Financial Services,We are your cyber gateway to the habitat of digital assets. Our professional team combines outstanding digital and financial expertise with a deep crypto-native experience and a sophisticated portfolio engineering strategy in order to help you harvest smart investment opportunities in the digital asset space.  Level...,0 followers,https://www.linkedin.com/company/cybrgate/
kointax,"Herisau, Appenzell-Ausserrhoden",Financial Services,"You are taxable in Switzerland, own crypto assets, but you have no clue how to file your tax return? Our philosophy is to make your life easier. As crypto tax experts we are here to serve what you deserve: Carefree tax returns.",0 followers,https://www.linkedin.com/company/kointax/
Kite Assets Holding,Zug,Financial Services,Your future investing platform. Secure and transparent crypto-based investment opportunities for your economic freedom.,0 followers,https://www.linkedin.com/company/kite-assets-holding/
K-Tus,"Carouge, Genève","Technology, Information and Internet",Place de marché pour acquérir et échanger simplement des Crypto-monnaies.,2 followers,https://www.linkedin.com/company/k-tus/
SPARANO Services - Consultancy & Advisory,"Winterthur, Zurich",Business Consulting and Services,"Digital Economy and Smart Biz Opportunities:   ► advises about online businesses, affiliate marketing, NFT marketplaces, Crypto Exchanges and Trading, Blockchain applications for Fungible (Crypto-Currencies, Stable Coins) and Non-Fungible Tokens.  ► Consultancy in OEM Sales & After-Sales Services (Spare Parts Business...",1 follower,https://www.linkedin.com/company/sparano-services/
The Cryptoturtles,"Zürich, Zürich",Business Consulting and Services,"All about our projects in crypto, finance & trading!",0 followers,https://www.linkedin.com/company/the-cryptoturtles/
Social Coin,Bern,"Technology, Information and Internet","The 1st Coin that is not thinking of taking us to the Moon, just to help on building a better World! Community Driven and Charity Crypto #TheWorldIsOurs",1 follower,https://www.linkedin.com/company/our-social-coin/
Arteepo,Fribourg,Arts & Crafts,Get your own Crypto NFT designed by professionals !  Let us create everything you need.,1 follower,https://www.linkedin.com/company/arteepo/
Astor Security,Web 3,Blockchain Services,"Secure your project, gain the trust of the crypto community.",0 followers,https://www.linkedin.com/company/astor-security-audit/
Crypto Talents,"Zurich, Zurich",Staffing and Recruiting,Executive Search - Management Consulting - Career Transition Services Firm spec. in crypto & blockchain technologies.,16 followers,https://www.linkedin.com/company/crypto-talents/
Crypto Valley Keiretsu,Zug,Investment Management,"The Crypto Valley Keiretsu (CVK), creator of ""Lex Crypto""​, is an invitation only peer-membership group of community governed, self regulated, distributed ledger organizations who are irrevocably committed to truth, trust and transparency.  ""Lex Crypto""​ provides a framework for continuous monitoring and community...",13 followers,https://www.linkedin.com/company/cryptovalleyk/
Crypto Real Estate AG,Zug,Information Technology & Services,"Swiss Real Coin (SRC) is an Asset Backed Crypto Token secured by Swiss real estate.   It is envisaged that the Crypto Real Estate Ltd (the “Company”) qualifies as an operating company engaged in business activities within the meaning of Art. 2(2) lit. d. of the Swiss Collective Investment Schemes Act (""CISA""​). As...",942 followers,https://www.linkedin.com/company/swiss-real-coin/
Crypto Lawyers LLC,"Herisau, AR",Legal Services,"Specialists in Cryptocurrencies, Tokens and ICOs • Specialties: Crypto",95 followers,https://www.linkedin.com/company/crypto-lawyers-llc/
Crypto Valley Journal,"Zug, Zug",Media Production,Unabhängige Hintergründe zu Krypto und Blockchain.,4K followers,https://www.linkedin.com/company/crypto-valley-journal/
Crypto Geneve,"Carouge, Ginebra",Investment Banking,Toda las semanas analizamos las principales Crypto Monedas,18 followers,https://www.linkedin.com/company/crypto-geneve/
crypto.bepace.com,GENEVA,Business Content,"Certified Bepace Businesses are licensed and regulated Crypto Exchanges, DeFi, Finance",331 followers,https://www.linkedin.com/company/crypto-bepace-com/
Crypto Conseil Suisse SA,Genève,Financial Services,"Donner à tous la possibilité de comprendre, d’interagir et d’adopter les solutions blockchain.",914 followers,https://www.linkedin.com/company/cryptoconseilsuissesa/
Crypto Bucks GmbH,"Hochdorf, Lucerne",Financial Services,European independent crypto asset manager focused on blockchain-based digital assets.,310 followers,https://www.linkedin.com/company/crypto-bucks/
CRYPTO MOUNTAIN,Zug,IT Services and IT Consulting,Sign-up now for CRYPTO MOUNTAIN DAVOS (March 13 - 15). It's where the Blockchain and Crypto Valley community meet.,205 followers,https://www.linkedin.com/company/cryptomountain/
UniCrypt Group AG,"Schindellegi, Schwyz",Information Technology & Services,UniCrypt.com - The Universal Crypto Management Platform,10K followers,https://www.linkedin.com/company/unicrypt/
Boerse Stuttgart Group,Financial Services,Financial Services,Europes sixth largest stock exchange group with strategic pillars in capital markets and crypto business.,7K followers,https://www.linkedin.com/company/boersestuttgart/
Fizen.io,Zürich,IT Services and IT Consulting,"A Truly Decentralized & All-in-one Crypto Payment Solution For Future e-Commerce, DeFi and GameFi.",10K followers,https://www.linkedin.com/company/fizen-io/
Hadron Talent -Hadronfinsys,"Cham, Zug",Information Technology & Services,Candidate centric Talent provider. Making a difference • Specialties: crypto,11K followers,https://www.linkedin.com/company/hadronfinsys/
Amber Group,Singapore,Financial Services,"...priority. We have invested years of effort and millions of dollars in cybersecurity, crypto-security, and operational security across the firm, and hold a SOC 2...",40K followers,https://www.linkedin.com/company/amberbtc/
SMART VALOR,Zug,Financial Services,Swiss digital asset exchange for customers across 130+ countries • Specialties: crypto exchange,7K followers,https://www.linkedin.com/company/smartvalor/
SWISSGOLD Crypto AG,Zug,Financial Services,In Gold we trust.,27 followers,https://www.linkedin.com/company/swissgoldcrypto/
ixfi,"Fribourg, Switzerland",Financial Services,More than crypto,21K followers,https://www.linkedin.com/company/ixfiexchange/
wowJobs,"London, London",Staffing and Recruiting,...Practices.  • Robotics and Machine Learning (Globally)  • Digital   • Crypto Currency and Block-Chain  • Fintech  • Start-ups and Consumer Internet,28K followers,https://www.linkedin.com/company/wowjobs/
Transfero Group,Zug,Financial Services,"Transfero is an international Company headquartered in Zug, Switzerland, in the heart of the Crypto Valley. Our primary mission is to facilitate and foster...",18K followers,https://www.linkedin.com/company/transfero-group/
gec_swiss,Genève,Blockchain Services,GEC - Geneva Event Crypto Le premier grand événement sur le monde de la blockchain à Genève.,204 followers,https://www.linkedin.com/company/gec-swiss/
TradingScreen MARKTS,"New York, NY",Financial Services,"Solve all of your crypto needs from connectivity, compliance, and trading with MARKTS OEMS. Connecting you to the right counterparties to give you access to the right variety of products allowing you to have all the tools and instruments at your fingertips.",149 followers,https://www.linkedin.com/company/tradingscreen-markts-/
Definme,Bur Dubai,IT Services and IT Consulting,Web 3.0 infrastructure development company • Specialties: Crypto-Asset Wallets & Custody Solutions,134 followers,https://www.linkedin.com/company/definme/
A. Favre & Fils,"Geneva, Geneva",Retail Luxury Goods and Jewelry,...crypto-mechanical timepieces which incorporate a built-in crypto-currency cold wallet and a state-of-the-art proprietary security solution.  A business that has...,168 followers,https://www.linkedin.com/company/a-favre-fils/
CRYPTALGO,"Zug, Zug",Financial Services,"CRYPTALGO is building an institutional, highly secure global cryptocurrency & Security Tokens Secondary Trading and Liquidity Platform that leverages the CRYPTALGO’s Galaxy, a distributed parallel computing connectivity backbone that addresses the fragmented nature of the market by interconnecting multiple crypto...",169 followers,https://www.linkedin.com/company/cryptalgo/
iAlpha AG - Pensavvi,Zurich,"Technology, Information and Internet",Pensavvi provides a forum for investment professionals and capital allocators to exchange ideas and build relationships • Specialties: crypto,175 followers,https://www.linkedin.com/company/pensavvi/
